Season,Team_Code,Game_Number,Home_Away,Opponent,GF,GA,Points,F_count,D_count,G_count,F_cost,D_cost,G_cost,Total_injuries,LowerBody_Count,UpperBody_Count,Players_Out,Opp_Players_Out,Money_InStands,Opp_Money_InStands,5v5_CF,5v5_CA,5v5_SF,5v5_SA,Playoffs_Bin,Playoffs
2020,NYR,20,Away,CHI,4.3787299329631,3.052339055265120,63,13,7,3,52114048.35982180,15773272.034839200,6786598.038150740,6,1,1,7,1,1607443.2657174600,1558244.9779019400,54.581726257080400,41.84629102404510,24.090086773855900,24.4224652577803,1,Yes
2019,TOR,11,Away,NYR,2.9635621317790900,2.7912822309629700,106,14,5,2,29860796.225519300,32860352.536762400,7108206.919933140,6,3,3,3,5,1003413.866361350,1507668.9053823000,49.413464299171900,48.09920910566390,26.759399584809600,25.485237003178000,1,Yes
2016,LAK,74,Away,COL,1.8292085960325100,2.4508397633733600,90,12,7,3,59041307.94400820,24041177.371026100,9297106.066168750,0,2,2,0,5,1647659.8874497000,1091511.7195260000,44.255331928509600,63.052632133517300,29.3969086996735,30.952239682856200,1,Yes
2022,NYR,38,Away,COL,3.1438784669210800,2.8037878825761400,87,10,6,2,33792704.30984680,18134383.730846800,12771157.477963400,5,5,3,4,5,1149150.6225622900,501926.6382902020,46.41403631988200,66.55045973641780,26.615859828553100,22.890304478139000,1,Yes
2020,TOR,6,Home,LAK,2.8631320036798800,3.821638967190470,70,11,7,2,33492438.166049100,21340319.271492700,16220241.150491000,6,5,2,5,1,1226276.7474839000,680238.888103433,43.16540939203600,46.64581455707100,35.09880400316660,22.678824388000000,0,No
2016,TOR,72,Home,NYR,4.033071248218850,3.305770293045400,102,10,6,3,32476476.22146820,31052162.683810000,17547963.361413600,5,2,2,7,1,1472153.1908916100,1301831.8171340600,60.49208725570370,53.906435177767700,26.587070484999100,38.87577778415920,0,No
2019,CHI,23,Away,BOS,1.7942477423527300,4.177569869864540,60,12,7,2,24884460.63697150,21888414.17852130,15565029.739357700,5,1,4,5,5,527537.575998836,1512694.8287666300,59.821821793274500,54.10972143811620,22.764641735706700,36.08405814595560,0,No
2015,BOS,47,Away,NYR,2.9647234110653300,2.830140043137560,108,14,5,3,24445485.893280500,27363028.1280102,18928953.222959600,1,0,5,7,1,1480991.3321303700,1126172.4258446900,68.51819114739620,66.20725917279200,27.980809040966100,23.613098041823400,1,Yes
2020,BOS,46,Home,CHI,1.9501459940819500,3.321268736156260,106,12,7,3,45924201.381364900,18042382.66816680,16081152.644239000,5,4,1,7,7,1427877.723608170,1596018.5172925900,61.89035240941720,62.883971586274200,39.59828865564760,28.13135615810980,1,Yes
2023,COL,12,Away,BOS,2.47402778067018,3.393922659275970,111,11,6,2,55004721.78232190,29702340.940136200,9594018.305069220,3,4,1,3,1,964770.6751299200,1282793.4429982700,41.561375162683900,55.392316551041500,24.517628258671500,27.112439985151300,0,No
2015,CHI,13,Home,COL,3.712071232163400,3.2750914869189800,97,13,6,3,51620820.41086690,22901942.096081600,8976219.26507859,8,0,2,4,7,628691.4273492340,611264.2933914680,66.52735521786860,60.1224160141532,32.24317317886460,35.820081481308100,0,No
2017,TOR,62,Away,NYR,2.9280543881063000,3.607901319256550,83,10,7,2,25644303.760854000,30674210.863217900,15442886.754516300,0,1,1,3,3,636403.1748695620,788024.3764519230,65.88025488837180,65.42065161728100,28.659460996794100,30.204258329562400,0,No
2021,LAK,82,Home,TOR,2.627664855437310,2.212300405124420,113,14,6,2,41823284.87168270,35209872.05760060,7893058.530344210,7,4,0,7,0,1884835.6204778400,1759997.3348659100,53.29960962318100,40.28616862076640,21.42049135298650,22.55699473986930,0,No
2018,BOS,60,Away,LAK,2.6834288357101100,3.037091332637370,119,13,6,3,24223661.8390656,30291160.48474980,6390722.162154050,4,2,2,7,4,1533918.9818387600,1587369.1199366600,57.57589151583770,52.08670093150150,29.75753211996120,34.77984126312490,0,No
2023,TOR,43,Away,TOR,2.87834030521796,1.812674408425040,116,12,5,3,21811785.744523100,22393689.064875500,12983343.122842900,0,0,1,2,7,690653.9206561110,1842142.9805187400,69.28234997417560,67.21729501831240,34.04328657296630,27.93775956449840,1,Yes
2017,BOS,76,Home,LAK,3.8550496315111700,2.6535339829344400,106,14,7,2,46255434.375390700,21393592.53870750,17324623.54668430,3,3,0,0,7,1035084.7539633600,676335.8736814050,55.969130915445000,62.209390925318500,30.264399516556400,25.25848495264290,1,Yes
2019,BOS,68,Away,CHI,4.176254066820700,2.9630012058637900,90,13,7,2,41406093.34721400,23185523.9683362,6520697.637047950,0,1,4,2,1,1388724.4908523900,1985333.801922610,67.1596548512827,56.28524123002220,37.44212127493160,27.5099724404144,1,Yes
2017,BOS,5,Away,TOR,4.366004059511790,3.4566727786364200,100,14,7,3,23280947.408458800,19115512.83091260,16878369.856935900,5,0,1,0,4,1753357.557635970,814110.0709249000,42.49116273430560,55.889335811054,25.778740333151700,29.955131272137900,0,No
2021,LAK,37,Home,NYR,3.8607101587658900,4.351593157758610,105,11,6,3,21397569.85623950,19529296.2712505,17173580.06527320,1,4,0,1,6,565491.3930695130,517669.814429963,45.731556061260500,50.43310292813310,21.724983426079300,26.86231032834020,1,Yes
2019,CHI,72,Away,NYR,2.446220687244040,3.3019531996450700,109,11,7,3,59590256.536373400,34767277.547504200,12234110.001223200,4,1,3,6,4,854949.6972050130,1996134.4085803300,53.22264830323950,55.615616009245400,38.731312233160100,24.838115451835200,0,No
2023,LAK,31,Home,TOR,3.5644041182596300,3.7307817485296800,85,10,7,3,21200853.285962900,24618314.412686100,5859654.650157300,6,2,5,5,3,1834623.48544307,921610.8281676700,57.542704250119100,59.6614959839036,27.56392699056440,27.970040576079600,1,Yes
2021,NYR,9,Home,NYR,2.8128093721661800,3.0187981784856100,108,10,5,2,37781130.12200640,25899879.514264600,7618847.768707800,1,1,3,3,7,513748.32527572500,1502029.17876884,64.48683555588400,52.55089115286380,31.52811102907270,20.383458214998000,0,No
2016,TOR,51,Away,CHI,2.2640118661381500,3.4023120941289900,109,11,5,3,40184760.984307800,29851236.639170300,15611394.127429000,5,1,0,1,1,802098.6541908310,765023.4712644580,69.6478634542956,61.42459439176520,35.84006252260390,35.44995692192630,0,No
2018,CHI,29,Away,BOS,4.022614738277770,1.7127966484013200,64,14,5,2,24691205.912017800,29741337.37878870,15676669.174864200,5,2,2,1,5,1938536.263959450,1370342.7982987100,51.665544894223500,65.83696681781160,26.48627327751160,23.418897871351700,1,Yes
2023,CHI,78,Away,CHI,1.6152790468869700,2.263174742525540,79,11,6,2,26762471.13758870,16684421.788048100,18475329.12751500,4,5,2,5,4,1420102.7697832600,1856052.479681840,41.42246908420260,44.64054544554580,34.32329076355220,20.878092272612700,1,Yes
2016,CHI,40,Away,LAK,4.20528597640627,2.585559279615420,111,10,7,3,34072200.2564141,35788519.65844160,13740292.198318700,4,2,1,5,1,892507.0499562600,980271.751142658,64.03514509885970,53.54641068452270,22.70837699635660,33.07397385810160,1,Yes
2023,CHI,41,Away,CHI,2.8844323938742000,2.9174800650195400,100,11,5,2,50467035.04854650,19433163.830598500,6861610.515706660,2,1,3,0,2,600486.6415937710,1505380.9640665400,58.13142157248420,52.24060273855240,25.825874944110100,35.478722576473400,1,Yes
2019,LAK,11,Away,LAK,3.411604430424840,1.6369462365071500,70,11,5,3,40283296.962410700,33076790.90124170,6821223.582574580,9,2,2,2,6,542287.0106708330,781855.3831976250,45.95628576604610,60.623944121491800,22.894212722730400,36.27658263185690,1,Yes
2016,CHI,23,Away,NYR,3.478061766617350,1.920072292659950,115,14,5,2,45516074.982118500,34316774.70320420,15816985.360352400,9,5,2,4,5,867117.6194553910,1437193.098078090,54.8448536986426,47.49602395773790,36.22461116802720,29.870183653212,0,No
2018,COL,1,Home,BOS,4.185353222119610,2.3304429233739200,113,13,7,3,59406982.20362700,32872488.35228280,7756769.976618520,1,0,3,0,2,1822228.7293833700,1004675.5277262700,62.26930736601170,59.207527448568300,24.45298470453570,24.107363693799700,1,Yes
2021,TOR,46,Away,NYR,3.4100090465016200,4.414598072703150,92,10,7,2,50720217.41252840,29474441.16385360,9925782.49424908,6,2,4,4,2,1123870.4814462600,816812.3878819280,63.112353612059300,66.32467725194460,34.34807110810420,34.744553544996500,1,Yes
2022,CHI,21,Home,COL,3.341800754280190,2.4940410213091500,109,14,7,2,37374459.92564870,15365224.927722100,12308180.103828700,0,2,2,1,4,1580500.0537489900,969773.0760554530,54.98855235996290,52.54394799380870,38.86596794491310,33.99426154308670,0,No
2017,TOR,36,Away,NYR,1.69995612168207,2.9461231743362500,97,11,6,3,37857676.87186200,24009387.309079300,5371473.163642270,5,1,5,4,2,1877427.5530699400,768261.602761699,49.15643590386580,67.3304709993766,30.55544418137750,24.925414682063500,1,Yes
2015,COL,54,Away,LAK,3.0552240658356100,2.088293138215180,86,11,6,3,44750883.0816402,30120985.73406450,8732285.405298980,5,0,0,2,3,1112060.692404230,1852874.1617568200,69.2122774611548,69.79491216800440,30.800583845213800,38.06815511725590,0,No
2018,COL,57,Home,NYR,1.950507002451130,3.3323402132273000,93,13,5,2,46614608.33675620,24686282.398063500,11118344.1276092,2,3,1,0,3,786916.0565560960,1095780.3294756900,59.90087832869480,43.18276149843860,29.220671361956200,22.08742916165660,1,Yes
2016,TOR,1,Away,NYR,3.7123013061644600,2.342049646547920,74,10,7,2,40028437.03346690,36586997.372820300,9194544.777398100,1,3,2,7,4,1275676.8962853800,867918.9574615510,52.24712558038900,46.99159563954580,26.517802867872900,39.65376479182650,1,Yes
2022,BOS,63,Away,BOS,3.0366657624380200,2.1209777353152800,91,10,5,3,45794448.9125992,22720056.883740400,7045554.912013490,1,4,5,5,1,1862125.5305897800,1172611.7615239000,48.41389672613960,68.5113925444628,29.513100618498300,37.204956219549300,0,No
2018,NYR,54,Home,NYR,3.54068333762506,3.0497178853379400,117,12,7,2,20941299.77656400,22338369.81146650,15920183.86694300,8,2,5,7,0,1706561.6212065500,980804.2502097430,61.933089490106900,68.7498305944416,32.05615064533520,33.757972909581500,1,Yes
2016,BOS,55,Away,BOS,1.6250187018071500,1.5165173974812600,80,10,7,3,37184914.55587380,21649942.327316400,17197214.827519800,4,2,2,2,1,598744.7650447310,1616628.8807199900,47.26550336781300,42.93121826160280,39.719831443413200,38.77499776559670,1,Yes
2020,BOS,40,Away,TOR,1.7543760481374100,1.522992097947680,105,13,7,2,31157523.04293910,23319521.72401990,8862184.642155870,6,0,4,6,1,1538859.2001163700,1956829.8678282400,45.151299669210600,40.4499550113141,38.75529118636450,34.44622336647420,1,Yes
2020,LAK,15,Away,COL,3.6489701641880500,2.1572064273055700,64,12,6,3,25166977.809724400,28935124.10785470,16616292.41909460,4,5,0,2,1,1357846.2836884300,1157050.4850464700,55.895016668862100,44.83300069769270,37.243059165862400,23.809139940600900,1,Yes
2018,BOS,21,Home,BOS,1.71625300799602,1.6101640875024600,65,12,6,2,23981860.512351000,32675382.35681480,10783303.466019700,6,3,1,6,1,1861194.7645196400,1791550.0999583600,48.699621779324300,69.88038350146750,37.78261071409720,28.843122762256200,0,No
2020,CHI,47,Away,LAK,1.7137701832957800,1.8240772623920700,97,11,7,3,44127686.6245867,31564197.94346960,12600286.862810000,3,4,2,0,5,683722.1252754460,1348794.6103394300,58.86715434770850,45.3999884983206,29.356983665840900,21.43006048663270,0,No
2016,LAK,73,Away,TOR,1.5363254257046600,2.516581948016260,81,11,5,3,40944021.88610450,35192945.49953700,17840016.12339730,7,0,1,5,0,1301054.169806990,735853.4976413500,43.53816024622700,55.0764282016607,33.148886543549300,27.79314844576230,1,Yes
2016,LAK,53,Away,BOS,4.3695041948984400,3.9077570387394400,77,10,7,2,30143364.679854800,37147849.88743560,16249305.227036100,9,2,3,2,5,1819194.0402678400,1535934.1131220100,59.648233137019600,65.45253179291530,37.901334458724300,34.832060394744200,1,Yes
2018,COL,9,Away,BOS,3.7125250783770200,3.2161459301079000,73,12,7,3,38838002.35090060,35401976.05858380,17076752.769742700,9,3,5,7,2,1115035.6801126100,1270151.7456887300,48.498895839931100,40.61204832064620,27.85901529982710,27.72886701861640,0,No
2022,BOS,74,Home,COL,2.5597542255061900,3.0380031778692500,69,11,5,2,39689292.60729630,15473635.084358900,7052677.498795350,6,4,5,6,6,1222992.3765993000,1475909.7848781600,40.00728803303540,58.13466946775380,39.235249566909400,26.605883509362700,0,No
2021,COL,52,Home,LAK,2.3896067438629700,2.380466469624370,105,13,7,3,27800359.217544600,33397948.83879970,6045791.387505940,9,1,2,5,1,605691.0165004370,1834531.1188575000,43.80808173022530,48.31076346608870,28.31572124138370,31.907114450206200,1,Yes
2023,TOR,57,Away,CHI,2.5491096892375500,4.295261158298450,72,11,5,3,46083722.475266000,20209989.34045830,18401070.936319800,4,3,2,3,6,917215.4606733660,1160651.8559840700,68.00846133505280,65.87004749319200,32.02165330786430,37.4440905799779,0,No
2022,NYR,26,Away,CHI,3.8239605935435500,2.691045123711580,90,11,6,3,51236774.25544360,18323201.067699600,10817514.043566400,5,4,3,3,3,986759.973753421,1851766.4348260300,66.02063917346070,48.503834477922400,34.19609426544740,20.951663850922200,0,No
2019,LAK,41,Home,BOS,3.484111833211240,1.7612783003873100,89,12,6,2,51658541.635580800,30962219.619978400,9318195.171045210,4,0,4,3,4,1917683.6731173300,1626003.5214224800,47.008270961087100,60.602671608457300,39.01184026151880,27.709408693994700,0,No
2016,TOR,35,Home,NYR,2.055586703602400,3.351199548353400,62,12,5,3,44098793.2281382,22993579.885192400,15870443.813927400,6,1,2,4,4,924001.0408117390,1232907.3888169800,63.35115713636470,60.226588973421900,24.892325481045300,23.164814836305300,0,No
2019,TOR,63,Away,LAK,2.022328006002250,1.8415151804298000,89,14,6,2,40465543.30076060,16427929.084261100,17546233.94869790,1,4,5,2,5,1191303.102904480,1404833.2034869500,58.257147795219200,46.6448064657892,34.922619564772800,33.907085014637400,1,Yes
2022,CHI,25,Home,TOR,1.795186949140190,2.5356694284050800,65,13,6,3,22440285.720215800,18440743.359959000,17937344.328474500,4,4,1,0,5,1506956.6353464200,988371.6987785170,69.12714134349610,41.043975996050500,30.416311722881600,22.1144912086227,0,No
2023,NYR,75,Away,NYR,3.4809081591040100,3.022235816153430,88,12,5,2,31513251.954064200,15023235.421749000,9739957.11687841,9,2,0,7,3,743275.058611816,1975395.9496081600,51.20816978602180,52.27748721356190,25.37114281241280,33.296155171604900,1,Yes
2023,TOR,38,Home,NYR,3.793117986665210,4.122667574055530,67,10,6,2,23730857.871126800,37580590.68361770,17783185.86802510,2,5,1,0,1,1229663.5807128100,1501026.744575590,60.443818375515100,48.675794558976100,35.53213679592780,25.723617415958100,1,Yes
2015,TOR,2,Home,LAK,2.2951392849750100,2.9806397410203600,103,13,7,2,58552926.43513900,15615449.596031000,5614009.1656151800,8,3,4,4,6,1607808.5592138600,565770.2787449450,41.90607167271760,64.26933248841130,31.04444560347690,23.978336274744500,0,No
2023,NYR,7,Home,BOS,1.5628348830927400,3.6067762980949900,104,13,7,3,25403205.849030400,20236394.237737800,5744922.371895780,5,2,0,0,7,1800282.8195406000,989932.8586220130,51.887420404492200,64.01092565366040,33.219476412993500,38.727051156499700,1,Yes
2021,NYR,82,Home,BOS,1.7465150024292800,4.478450516997210,102,12,5,2,26071016.394044100,25406569.517197700,14352787.927612300,9,1,1,6,6,1439388.91199364,1434971.6506385900,68.91452983564540,53.71071856577880,26.45802137155800,20.37049153491910,1,Yes
2023,TOR,34,Away,BOS,4.4035801045350900,1.894467359693950,103,13,6,3,55583064.73321970,23914283.148770500,5946595.536733190,2,5,1,3,0,1503580.2729754200,584499.9166988600,56.169426233503600,58.19536675969660,29.6254790365521,28.75554543779140,0,No
2022,NYR,17,Home,BOS,2.386334332432260,2.3241945765585600,92,12,7,2,57757131.33905830,37793146.92281940,9869137.527652420,6,4,3,7,2,689425.2088768540,535826.2869787140,48.63638510004530,58.12778547960780,32.347085019761300,20.432539849235900,0,No
2015,TOR,43,Home,CHI,3.807669443514400,2.6837282267929400,76,11,7,2,50633161.56939640,16007223.643363600,15091339.79370390,3,2,4,2,4,1918664.7458695200,1175036.359291700,43.60812889385820,64.8147444528287,28.09821628539690,29.67186096208660,0,No
2022,TOR,59,Away,BOS,3.3739907065627900,2.765484535616490,107,14,6,2,20216196.946906800,27805367.69192630,10059003.440813400,2,5,5,0,2,698861.1162267240,999035.269539005,61.10585020544590,52.750072423695900,23.967450796954000,30.020947555888400,1,Yes
2022,CHI,51,Home,CHI,2.6458189189586900,2.7330632257966400,70,11,6,2,20053850.838262500,32011986.56310940,7693996.721601440,7,3,3,0,0,1662009.4057727000,1157447.912049750,59.345681302891800,48.26340039371530,39.23280984630610,26.43324942789490,1,Yes
2017,BOS,54,Home,CHI,2.117061786586670,4.2228330076696600,72,12,7,3,35124030.79149800,38292449.34202920,9220259.327807620,3,1,0,1,5,897224.4826674780,894039.9648200080,51.21816140811320,47.95104754421640,30.229350800852300,22.643235550500500,1,Yes
2015,TOR,24,Away,BOS,1.8641592544782200,3.6420979334005700,109,12,7,2,25735814.8004357,30509281.303093000,11863629.983756500,0,0,5,1,6,1900389.7155518800,747076.6204144710,68.52824055597500,56.08576837846610,34.67840740575400,27.527750754689500,1,Yes
2022,COL,25,Home,COL,3.3450389041166,3.323715642272110,70,11,5,2,20735445.686063900,35093880.900294100,12130787.830332200,5,2,3,1,4,1579939.3090542200,1533715.0354705100,40.66608438963550,53.47444608196640,28.22094387112120,33.445258798651300,0,No
2017,LAK,71,Away,TOR,3.823901341913360,2.428118153588350,90,10,5,3,38562667.57618020,17093123.44613370,16745003.47020800,9,1,4,2,2,1630720.5694675500,1271856.6744017000,49.11171554895480,53.203623129548100,27.102635280514300,35.64791617288920,1,Yes
2017,BOS,52,Away,NYR,3.431712760623390,3.971371152663880,87,10,7,2,57722475.896278900,24648487.773423200,16252298.441472700,0,0,2,3,7,828588.759589825,800231.3168740500,67.63208458898740,42.73412017269120,28.1432859693425,30.615012047762800,0,No
2015,BOS,70,Away,CHI,3.090906399747480,4.365181534454970,103,10,5,2,32952782.996097300,24348678.361976700,11852267.068342000,4,2,2,5,5,1164559.9649527400,979384.1393899980,49.62806314958320,61.558112220705900,28.183932875713000,31.796687888795100,0,No
2019,BOS,33,Away,LAK,1.6258536702949100,3.9635948476506800,65,12,7,2,46445627.13714790,37157205.41139290,17685010.23648160,6,1,0,3,0,1426719.7918839300,1387711.861494990,47.56758501565510,46.41210063945730,30.88360231883910,24.012327422493100,0,No
2021,CHI,49,Home,LAK,4.405466332783150,1.5046953155744200,100,13,7,2,46089414.12529760,18784279.281581900,6713557.078870940,5,1,2,7,7,1654960.4273099000,608344.0224087170,56.02661229793740,45.90860890626160,30.869397399627300,25.74660666455300,0,No
2023,TOR,29,Away,TOR,3.896142574963720,3.4092041105502200,75,12,5,3,30043204.14660670,18797154.308415800,8830300.253433520,1,5,3,3,2,655939.0638685840,721179.5138992690,64.71405249761610,52.3827496083218,29.943076317657400,23.23791220104720,1,Yes
2021,CHI,63,Home,LAK,2.3784661101028900,1.6534061443263000,63,13,5,3,46017009.952954600,23213953.74714500,17419646.952533800,3,2,0,2,7,1943547.9746817900,609868.4061610850,43.09440282635080,46.833350248534000,22.695715698348800,24.985907000092200,0,No
2023,TOR,22,Home,COL,4.4399109880765500,2.2728216610011700,94,11,6,2,28493358.97147570,16361651.184170900,10669910.579392300,1,1,5,6,6,1835331.005831830,1718475.9990711800,68.29062128937210,57.51574801924050,29.921509570010600,24.497735604510600,1,Yes
2022,CHI,26,Home,LAK,3.3056447689089700,1.678574101043320,119,14,6,3,24880296.54307560,19561451.016312300,19717723.38190760,0,4,4,6,1,905522.8857433770,1628613.8498180100,63.85218643543490,51.143900180034100,23.38207800841300,30.38897572782480,0,No
2016,CHI,28,Home,NYR,3.2472679746217400,3.3113863588481600,107,13,6,3,48055331.42238760,39130240.96364340,11993799.22291750,2,2,0,2,7,1734140.364548500,1629969.3978188900,45.43750766654660,53.467351677783700,22.522715725915300,31.253775115814600,0,No
2015,LAK,49,Home,NYR,3.744219538288600,3.5597697404778200,115,10,7,2,24537632.68415670,25704598.49667930,16879034.34445650,2,1,5,1,5,1277485.8845597400,1574488.015214040,61.360238835944900,56.11507964812090,38.65291434682340,38.89894841643010,0,No
2021,COL,71,Home,CHI,3.9353093642704100,1.8434629141977200,118,12,5,3,59876368.74357420,30800480.21056090,11034605.620735600,6,5,0,0,0,1192709.722343030,1504078.1355048000,51.54876167912670,46.10606567445410,32.099000262954100,23.91141294203050,1,Yes
2021,CHI,81,Home,BOS,3.469435821994510,2.6515166491349400,85,11,7,2,27338096.04600920,33152781.483615900,11374302.785936500,0,0,1,4,2,971651.1587171080,1215487.8730672600,52.06884034228960,44.67254868596590,33.18980116249170,32.83351420322990,0,No
2022,LAK,49,Home,COL,1.8842872390986,2.868709526866630,116,10,5,3,43765674.5102583,24174035.17518000,10743247.209262800,8,0,1,4,6,1371452.8799473900,1463417.2452606700,63.49870277316600,66.41265708620810,28.035873406667300,36.34518537975050,0,No
2019,NYR,20,Home,CHI,2.514802517983500,2.6071590652827500,71,11,7,3,36454982.856503600,18680676.860262900,15786134.307662200,5,4,0,5,1,1594833.6765554000,557542.332181962,68.88354423942200,53.01171108494260,38.17961783829730,31.20482927566110,0,No
2017,COL,63,Home,COL,4.284250920978150,1.863075001455580,70,14,6,3,25055456.896226700,20164525.40554450,13212768.260899900,3,2,2,0,1,1116399.3574441400,1432196.633985180,43.79967618541580,52.362808288976200,32.75860979159330,25.100073050021500,0,No
2022,CHI,61,Away,BOS,2.1738468355315600,2.756843370562430,96,12,6,2,21113756.303096500,22831661.91451530,19156671.670525500,2,5,1,5,0,1443828.7895124400,1666816.5583053200,52.61890710636460,41.06836450818530,35.38339739047180,25.251004600400000,1,Yes
2020,BOS,49,Away,LAK,2.61650107151254,3.7535341434252500,84,12,6,3,44909291.291713300,30901710.50880560,8763354.748011570,2,1,4,1,3,1548969.3817329600,1250537.5405765900,54.42824824252910,54.939289077621800,27.371249380554300,20.78506106142,1,Yes
2017,NYR,71,Away,LAK,2.796230648832590,1.7130229935997700,77,14,7,2,52270302.55156500,24957013.72722640,6508440.981251670,1,1,5,5,6,1566682.7255229300,1036269.9926408600,51.28935450864990,56.625091648330000,39.20023761638250,26.108884530969600,0,No
2015,NYR,1,Home,BOS,2.8182149690833600,1.7405400422457100,78,12,5,2,53680626.46026980,15170367.447503200,10898922.276488200,1,0,3,0,6,577949.1471967700,916140.1022014690,50.89567371148680,56.765226128640000,36.4092258031663,34.8920735800676,0,No
2017,LAK,13,Away,CHI,3.3388187474835800,2.5643138755079500,82,13,5,3,39308538.92307740,28085179.626686800,14250690.61470160,9,5,1,7,4,1789621.7085276000,1464203.0752431200,41.568060026847900,61.21093507968650,37.078969260290900,20.950355144142200,1,Yes
2019,NYR,51,Away,BOS,4.329227513234120,4.325177134856780,114,11,6,2,51098218.68729540,38037834.797685400,17911984.053732400,4,4,0,0,0,1187379.9721475700,1539201.797944860,60.566158616878700,45.32445504973040,23.443885348515100,24.385905650096600,1,Yes
2017,COL,56,Away,TOR,2.2220781354975100,3.505717940168740,97,10,6,3,46913885.33954180,35301940.275217000,10192953.300204900,8,0,2,4,1,893624.1225443220,1806451.399793810,53.08643251360140,47.56669402691860,25.41926415742440,34.12464997063560,1,Yes
2015,CHI,62,Home,NYR,1.8645041289027500,3.5360098700176900,113,14,6,2,48970181.09996530,35630284.28149080,14806801.266866900,1,0,3,6,1,862646.7612195220,1013501.1236914900,45.8438140793178,64.32191395691240,25.71253199367150,35.65303125645750,0,No
2019,CHI,32,Home,CHI,2.0924114695798100,2.585759972513600,77,13,6,2,39703960.208872600,34876450.44015330,10252980.215348300,1,4,5,1,7,1224521.1692659300,1654658.4610783800,64.48100506906210,68.41511850530180,25.418184464937400,29.106368201238600,1,Yes
2021,BOS,30,Home,COL,4.160774700627810,3.280982373625620,85,10,5,3,45336469.609685100,23093270.640260600,14258293.744916900,5,2,5,7,0,1830247.309203440,1342033.7362840100,64.07682244454880,44.07798242101960,37.10816324208580,33.96148676957300,0,No
